,Time,PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),PT08.S5(O3),T,RH,AH,PT08.S4(NO2)
2143,2184,1460.0,27.6,1493.0,586.0,1649.0,37.3,23.4,1.4672,2288.0
2144,2185,1357.0,25.6,1445.0,620.0,1622.0,33.7,27.7,1.4213,2195.0
2145,2186,1234.0,18.6,1257.0,695.0,1349.0,30.7,32.2,1.3983,2019.0
2146,2187,1151.0,15.2,1154.0,747.0,1186.0,28.4,35.7,1.3549,1894.0
2147,2188,1065.0,11.7,1038.0,805.0,1026.0,26.5,38.6,1.3154,1763.0
2148,2189,984.0,8.7,929.0,917.0,817.0,25.4,40.1,1.2822,1654.0
2149,2190,938.0,7.6,881.0,956.0,662.0,24.1,43.3,1.2839,1607.0
2150,2191,878.0,5.2,774.0,1065.0,552.0,23.9,45.6,1.3328,1527.0
2151,2192,919.0,5.9,807.0,967.0,775.0,22.0,52.8,1.3752,1598.0
2152,2193,836.0,4.0,709.0,1085.0,646.0,20.7,56.1,1.3565,1498.0
2153,2194,814.0,3.3,673.0,1138.0,647.0,20.1,57.3,1.3352,1488.0
2154,2195,872.0,5.4,782.0,1001.0,874.0,19.5,59.4,1.3328,1607.0
2155,2196,949.0,8.7,929.0,887.0,973.0,20.0,56.6,1.3095,1711.0
2156,2197,1227.0,19.9,1292.0,661.0,1327.0,21.7,53.9,1.3848,2087.0
2157,2198,1360.0,30.4,1561.0,545.0,1626.0,23.7,49.0,1.4152,2525.0
2158,2199,1318.0,24.6,1420.0,586.0,1640.0,25.9,44.3,1.4544,2316.0
2159,2200,1196.0,16.9,1208.0,705.0,1341.0,30.1,34.3,1.4414,1981.0
2160,2201,1152.0,13.6,1102.0,770.0,1113.0,33.5,27.2,1.3859,1868.0
2161,2202,1220.0,15.3,1157.0,715.0,1224.0,35.4,26.1,1.4806,1935.0
2162,2203,1182.0,14.1,1120.0,735.0,1095.0,37.9,23.2,1.502,1893.0
2163,2204,1167.0,17.0,1210.0,719.0,1152.0,39.7,18.7,1.3306,1944.0
2164,2205,1142.0,13.8,1109.0,782.0,1047.0,40.4,17.2,1.2774,1789.0
2165,2206,1157.0,13.6,1105.0,779.0,982.0,40.0,18.8,1.363,1792.0
2166,2207,1274.0,21.2,1329.0,670.0,1320.0,38.9,18.8,1.29,2054.0
2167,2208,1372.0,25.9,1451.0,631.0,1541.0,35.8,22.1,1.2792,2183.0
2168,2209,1373.0,25.4,1440.0,635.0,1510.0,33.1,25.9,1.2923,2183.0
2169,2210,1290.0,23.6,1393.0,655.0,1511.0,30.9,28.2,1.2388,2146.0
2170,2211,1056.0,12.0,1051.0,826.0,1078.0,27.5,32.6,1.176,1758.0
2171,2212,1116.0,14.2,1123.0,768.0,1235.0,26.3,34.3,1.1605,1826.0
2172,2213,1106.0,14.2,1122.0,783.0,1202.0,25.5,34.1,1.0968,1813.0
2173,2214,1018.0,10.4,992.0,839.0,1103.0,24.7,39.3,1.2065,1710.0
2174,2215,919.0,7.5,880.0,915.0,1013.0,24.2,39.5,1.1764,1628.0
2175,2216,807.0,3.5,681.0,1092.0,765.0,24.8,37.8,1.1639,1435.0
2176,2217,787.0,2.5,620.0,1176.0,618.0,22.7,43.8,1.1952,1403.0
2177,2218,789.0,2.6,623.0,1146.0,663.0,22.0,44.3,1.1553,1407.0
2178,2219,825.0,4.0,709.0,1050.0,813.0,19.3,51.4,1.1364,1491.0
2179,2220,912.0,7.0,858.0,923.0,894.0,19.8,50.4,1.1525,1608.0
2180,2221,1339.0,24.8,1425.0,595.0,1495.0,20.5,48.2,1.1474,2264.0
2181,2222,1355.0,28.9,1526.0,567.0,1658.0,22.8,42.7,1.1667,2397.0
2182,2223,1250.0,21.5,1336.0,632.0,1506.0,25.6,35.8,1.1548,2104.0
2183,2224,1105.0,12.9,1079.0,788.0,1168.0,30.0,27.5,1.1509,1774.0
2184,2225,1076.0,12.2,1055.0,817.0,993.0,34.4,21.0,1.1248,1734.0
2185,2226,1096.0,13.1,1087.0,801.0,910.0,35.9,19.6,1.1422,1759.0
2186,2227,1093.0,13.3,1094.0,797.0,912.0,37.2,18.2,1.1389,1769.0
2187,2228,1027.0,12.5,1066.0,837.0,814.0,37.3,16.6,1.0435,1689.0
2188,2229,1026.0,13.0,1085.0,848.0,1341.0,37.4,14.9,0.9413,1654.0
2189,2230,1015.0,12.3,1062.0,877.0,847.0,36.4,15.1,0.9005,1668.0
2190,2231,1028.0,15.2,1155.0,832.0,925.0,35.4,14.7,0.8323,1691.0
2191,2232,1074.0,19.1,1270.0,776.0,1087.0,34.2,14.2,0.7502,1833.0
2192,2233,1124.0,19.7,1289.0,765.0,1132.0,31.1,18.7,0.8302,1863.0
2193,2234,1111.0,18.6,1256.0,765.0,1197.0,29.1,22.0,0.8702,1851.0
2194,2235,1062.0,16.1,1183.0,794.0,1229.0,27.2,22.5,0.7962,1731.0
2195,2236,1072.0,15.0,1148.0,805.0,1171.0,25.3,24.6,0.7796,1683.0
2196,2237,936.0,7.3,871.0,990.0,921.0,24.9,27.2,0.8429,1430.0
2197,2238,988.0,8.9,937.0,894.0,1008.0,23.5,32.2,0.922,1543.0
2198,2239,924.0,6.6,839.0,957.0,849.0,23.5,32.7,0.9349,1453.0
2199,2240,839.0,4.3,725.0,1052.0,668.0,24.1,32.0,0.9467,1368.0
2200,2241,826.0,3.2,666.0,1109.0,641.0,22.6,34.8,0.9441,1349.0
2201,2242,853.0,4.1,716.0,1047.0,707.0,20.8,40.2,0.9725,1414.0
2202,2243,918.0,6.0,810.0,936.0,939.0,18.8,46.6,1.0027,1524.0
2203,2244,890.0,5.6,791.0,950.0,886.0,19.8,46.0,1.0524,1489.0
2204,2245,865.0,4.8,752.0,996.0,837.0,21.3,42.3,1.0625,1451.0
2205,2246,1003.0,8.9,937.0,850.0,1005.0,21.3,41.8,1.0449,1622.0
2206,2247,1123.0,13.1,1088.0,746.0,1191.0,24.0,36.6,1.0772,1789.0
2207,2248,1146.0,14.1,1119.0,746.0,1200.0,27.2,30.7,1.0884,1823.0
2208,2249,1110.0,11.2,1021.0,820.0,971.0,32.3,23.6,1.1271,1724.0
2209,2250,1126.0,10.0,979.0,849.0,907.0,31.9,25.8,1.2023,1700.0
2210,2251,1067.0,9.6,962.0,860.0,802.0,35.1,21.8,1.2093,1658.0
2211,2252,1008.0,7.2,866.0,937.0,695.0,36.0,20.5,1.1995,1573.0
2212,2253,1062.0,8.6,924.0,892.0,777.0,37.0,20.1,1.2423,1683.0
2213,2254,1082.0,9.0,939.0,869.0,818.0,36.4,21.0,1.2515,1678.0
2214,2255,1042.0,7.9,897.0,901.0,681.0,35.2,22.6,1.267,1605.0
2215,2256,1022.0,6.2,823.0,964.0,631.0,32.5,27.6,1.3229,1599.0
2216,2257,1024.0,6.3,828.0,936.0,641.0,29.1,35.1,1.3919,1601.0
2217,2258,1048.0,6.3,828.0,922.0,683.0,26.9,39.7,1.3898,1618.0
2218,2259,1153.0,11.2,1022.0,765.0,1013.0,26.1,42.2,1.4039,1806.0
2219,2260,1195.0,12.8,1077.0,731.0,1151.0,25.5,43.8,1.4095,1860.0
2220,2261,1245.0,13.2,1091.0,734.0,1134.0,24.9,45.6,1.4135,1870.0
2221,2262,1086.0,9.2,946.0,847.0,945.0,25.2,45.2,1.4262,1729.0
2222,2263,972.0,5.8,804.0,955.0,734.0,25.4,45.5,1.457,1620.0
2223,2264,880.0,3.4,677.0,1109.0,554.0,26.2,43.6,1.4599,1500.0
2224,2265,906.0,4.1,719.0,1050.0,612.0,24.3,48.2,1.4476,1561.0
2225,2266,879.0,3.1,658.0,1121.0,564.0,24.4,48.3,1.4499,1511.0
2226,2267,842.0,2.2,597.0,1237.0,512.0,23.3,51.0,1.4346,1444.0
2227,2268,797.0,1.5,543.0,1466.0,410.0,21.6,48.1,1.2259,1347.0
2228,2269,796.0,1.3,526.0,1534.0,392.0,21.4,47.8,1.2005,1322.0
2229,2270,767.0,1.2,520.0,1526.0,377.0,20.5,46.8,1.1152,1287.0
2230,2271,784.0,1.7,562.0,1460.0,389.0,20.8,40.7,0.9882,1286.0
2231,2272,811.0,2.5,622.0,1315.0,432.0,22.3,35.3,0.9371,1307.0
2232,2273,838.0,2.5,620.0,1292.0,502.0,21.7,38.3,0.9842,1325.0
2233,2274,821.0,2.7,632.0,1295.0,469.0,24.4,29.6,0.8921,1302.0
2234,2275,793.0,1.9,579.0,1380.0,427.0,23.4,34.9,0.991,1303.0
2235,2276,794.0,1.8,567.0,1426.0,406.0,23.5,35.2,1.0019,1306.0
2236,2277,821.0,2.4,614.0,1309.0,430.0,22.4,39.0,1.04,1350.0
2237,2278,849.0,2.6,628.0,1274.0,453.0,22.0,41.7,1.0865,1379.0
2238,2279,852.0,3.0,651.0,1246.0,470.0,21.7,42.7,1.0949,1387.0
2239,2280,847.0,2.9,645.0,1245.0,480.0,20.7,43.4,1.047,1364.0
2240,2281,849.0,3.5,682.0,1215.0,472.0,20.3,42.6,1.0045,1378.0
2241,2282,865.0,3.6,687.0,1191.0,521.0,20.3,44.1,1.0392,1388.0
2242,2283,848.0,3.6,689.0,1180.0,520.0,20.1,45.2,1.0538,1403.0
2243,2284,807.0,2.3,606.0,1340.0,440.0,19.8,45.7,1.0424,1337.0
2244,2285,814.0,2.6,627.0,1305.0,446.0,19.6,45.3,1.0244,1351.0
2245,2286,785.0,2.0,582.0,1377.0,417.0,19.4,45.9,1.0242,1311.0
2246,2287,748.0,1.2,515.0,1580.0,381.0,19.7,44.8,1.0172,1261.0
2247,2288,716.0,0.7,461.0,1795.0,350.0,19.5,46.3,1.0363,1235.0
2248,2289,708.0,0.5,437.0,1941.0,334.0,19.0,49.0,1.063,1227.0
2249,2290,724.0,0.5,448.0,1917.0,346.0,19.1,50.7,1.109,1256.0
2250,2291,748.0,0.8,477.0,1703.0,380.0,19.1,52.7,1.1545,1301.0
2251,2292,888.0,3.5,683.0,1196.0,563.0,20.3,49.3,1.1596,1483.0
2252,2293,973.0,7.0,858.0,941.0,779.0,21.1,46.2,1.1389,1584.0
2253,2294,993.0,8.7,927.0,886.0,842.0,21.5,44.5,1.129,1665.0
2254,2295,929.0,6.3,825.0,992.0,692.0,22.4,43.6,1.1637,1561.0
2255,2296,962.0,7.0,858.0,941.0,779.0,24.8,39.1,1.2039,1613.0
2256,2297,906.0,5.5,786.0,1026.0,633.0,23.9,42.1,1.2335,1538.0
2257,2298,915.0,5.3,776.0,1029.0,616.0,25.5,38.3,1.2328,1544.0
2258,2299,928.0,5.5,787.0,1012.0,606.0,25.4,39.2,1.2534,1585.0
2259,2300,855.0,3.8,698.0,1134.0,526.0,25.6,37.0,1.2006,1449.0
2260,2301,920.0,5.4,783.0,1046.0,588.0,24.5,38.4,1.1669,1550.0
2261,2302,917.0,6.7,842.0,985.0,674.0,23.9,39.9,1.1639,1563.0
2262,2303,1072.0,12.2,1057.0,812.0,885.0,24.2,39.2,1.1665,1820.0
2263,2304,1000.0,10.2,985.0,846.0,879.0,23.5,41.2,1.1759,1726.0
2264,2305,914.0,6.7,845.0,972.0,703.0,22.3,44.9,1.1973,1583.0
2265,2306,888.0,5.7,799.0,1023.0,637.0,21.7,46.5,1.1917,1531.0
2266,2307,851.0,4.1,718.0,1134.0,561.0,22.0,44.9,1.1699,1471.0
2267,2308,870.0,4.7,749.0,1096.0,612.0,22.2,44.1,1.1654,1487.0
2268,2309,883.0,5.2,773.0,1062.0,621.0,21.8,45.6,1.1763,1514.0
2269,2310,886.0,5.1,767.0,1055.0,702.0,21.6,46.0,1.1742,1532.0
2270,2311,792.0,2.8,637.0,1249.0,559.0,21.6,45.8,1.1715,1400.0
2271,2312,754.0,1.4,535.0,1490.0,435.0,20.7,48.3,1.168,1335.0
2272,2313,732.0,1.0,503.0,1525.0,441.0,21.0,47.1,1.1546,1321.0
2273,2314,770.0,2.0,586.0,1326.0,527.0,20.8,48.5,1.18,1392.0
2274,2315,797.0,3.0,654.0,1097.0,720.0,20.8,49.4,1.1994,1450.0
2275,2316,915.0,7.5,877.0,897.0,937.0,19.9,51.8,1.1911,1651.0
2276,2317,1287.0,24.7,1423.0,610.0,1482.0,20.9,49.3,1.2049,2319.0
2277,2318,1195.0,24.8,1424.0,609.0,1489.0,23.7,39.9,1.1508,2244.0
2278,2319,1003.0,10.9,1009.0,823.0,1015.0,25.3,35.8,1.1421,1710.0
2279,2320,1037.0,11.9,1046.0,838.0,1004.0,28.8,29.1,1.1349,1763.0
2280,2321,1114.0,16.0,1181.0,747.0,1129.0,30.3,26.9,1.1399,1928.0
2281,2322,1085.0,15.7,1171.0,767.0,1068.0,32.8,23.3,1.138,1863.0
2282,2323,1024.0,13.1,1087.0,824.0,924.0,33.9,21.4,1.1135,1745.0
2283,2324,1017.0,12.2,1057.0,859.0,861.0,35.3,19.6,1.1036,1698.0
2284,2325,1053.0,15.8,1173.0,785.0,981.0,34.0,20.8,1.0898,1808.0
2285,2326,1065.0,16.6,1198.0,766.0,1043.0,35.3,18.8,1.0572,1852.0
2286,2327,1136.0,18.4,1250.0,722.0,1124.0,32.6,24.1,1.1688,1940.0
2287,2328,1100.0,16.7,1202.0,732.0,1004.0,30.8,28.7,1.2507,1856.0
2288,2329,1143.0,20.8,1319.0,673.0,1190.0,28.7,31.2,1.2099,2001.0
2289,2330,1083.0,15.3,1157.0,742.0,1072.0,26.8,35.1,1.2201,1884.0
2290,2331,1009.0,11.5,1034.0,806.0,925.0,25.3,39.4,1.2524,1763.0
2291,2332,969.0,10.1,983.0,853.0,862.0,23.9,40.9,1.1966,1680.0
2292,2333,1029.0,10.4,993.0,816.0,969.0,23.0,44.4,1.2354,1728.0
2293,2334,1064.0,9.4,956.0,812.0,932.0,22.2,53.9,1.4237,1770.0
2294,2335,986.0,6.9,853.0,865.0,794.0,20.9,59.8,1.4659,1645.0
2295,2336,872.0,4.0,709.0,1034.0,599.0,21.3,58.1,1.457,1522.0
2296,2337,840.0,3.0,654.0,1124.0,614.0,20.8,58.4,1.4189,1489.0
2297,2338,812.0,2.6,626.0,1134.0,625.0,20.3,58.9,1.3878,1471.0
2298,2339,810.0,2.4,612.0,1163.0,595.0,21.3,54.5,1.3682,1462.0
2299,2340,936.0,6.8,849.0,882.0,886.0,20.6,57.4,1.3753,1640.0
2300,2341,1244.0,18.9,1265.0,640.0,1257.0,21.3,56.9,1.4226,2084.0
2301,2342,1440.0,30.2,1556.0,517.0,1561.0,22.9,52.4,1.4442,2530.0
2302,2343,1180.0,14.9,1145.0,713.0,1191.0,24.1,46.5,1.3802,1929.0
2303,2344,1126.0,12.2,1058.0,765.0,1061.0,27.1,38.8,1.3705,1879.0
2304,2345,1005.0,8.3,910.0,881.0,751.0,28.4,34.4,1.314,1670.0
2305,2346,1032.0,9.0,940.0,862.0,733.0,30.1,30.9,1.2958,1703.0
2306,2347,1087.0,13.7,1106.0,755.0,906.0,32.7,25.8,1.2547,1839.0
2307,2348,1090.0,14.1,1119.0,756.0,902.0,32.4,25.7,1.2271,1811.0
2308,2349,1072.0,12.0,1050.0,802.0,836.0,33.6,24.4,1.2472,1748.0
2309,2350,1101.0,12.2,1057.0,797.0,863.0,33.0,26.0,1.2877,1772.0
2310,2351,1111.0,13.1,1086.0,787.0,824.0,33.2,23.7,1.1855,1802.0
2311,2352,1048.0,12.6,1070.0,807.0,842.0,31.3,25.4,1.1415,1737.0
2312,2353,1197.0,18.3,1249.0,698.0,1132.0,28.3,31.7,1.1968,1986.0
2313,2354,1173.0,17.2,1217.0,695.0,1175.0,26.5,35.0,1.1981,1930.0
2314,2355,1075.0,12.9,1079.0,764.0,1111.0,24.4,40.0,1.2079,1798.0
2315,2356,1067.0,13.7,1106.0,745.0,1125.0,23.3,43.4,1.2251,1840.0
2316,2357,1060.0,13.4,1099.0,742.0,1077.0,22.5,45.3,1.2226,1838.0
2317,2358,1081.0,13.5,1099.0,749.0,1087.0,21.8,47.8,1.2325,1854.0
2318,2359,1017.0,9.9,975.0,822.0,1014.0,20.9,51.0,1.2446,1722.0
2319,2360,836.0,4.4,734.0,1035.0,801.0,20.8,51.7,1.2572,1501.0
2320,2361,831.0,4.3,727.0,1038.0,802.0,19.3,57.1,1.2661,1522.0
2321,2362,804.0,3.3,668.0,1102.0,753.0,18.8,58.6,1.2581,1479.0
2322,2363,798.0,3.4,677.0,1092.0,696.0,20.2,53.8,1.2569,1473.0
2323,2364,966.0,9.3,951.0,812.0,996.0,18.3,60.8,1.2635,1735.0
2324,2365,1277.0,23.4,1388.0,611.0,1513.0,20.2,54.5,1.2777,2241.0
2325,2366,1335.0,27.7,1496.0,562.0,1598.0,21.9,49.9,1.2957,2385.0
2326,2367,1297.0,22.1,1353.0,588.0,1690.0,25.2,43.0,1.3548,2128.0
2327,2368,1041.0,10.0,979.0,837.0,1053.0,28.0,36.6,1.3603,1705.0
2328,2369,1027.0,8.9,936.0,867.0,931.0,27.1,38.3,1.3548,1696.0
2329,2370,1037.0,9.8,969.0,841.0,865.0,27.4,37.0,1.3319,1728.0
2330,2371,1014.0,9.4,954.0,865.0,818.0,29.4,32.9,1.3244,1697.0
2331,2372,1007.0,9.8,971.0,866.0,802.0,31.3,28.7,1.2885,1682.0
2332,2373,998.0,9.5,958.0,881.0,778.0,31.5,28.7,1.3058,1657.0
2333,2374,1014.0,9.5,958.0,878.0,767.0,30.9,30.3,1.3306,1684.0
2334,2375,1157.0,15.4,1160.0,738.0,1000.0,31.4,30.3,1.3689,1936.0
2335,2376,1225.0,19.4,1281.0,683.0,1143.0,30.7,31.4,1.3686,2082.0
2336,2377,1131.0,16.5,1194.0,726.0,1009.0,29.0,33.4,1.3169,1907.0
2337,2378,1111.0,14.3,1126.0,754.0,1076.0,27.3,37.5,1.342,1883.0
2338,2379,976.0,8.2,909.0,878.0,830.0,25.8,40.9,1.3389,1675.0
2339,2380,1016.0,8.7,929.0,868.0,853.0,25.2,43.0,1.358,1724.0
2340,2381,1177.0,15.2,1156.0,684.0,1310.0,24.6,45.8,1.394,1983.0
2341,2382,1013.0,10.6,999.0,791.0,1119.0,24.0,47.3,1.3914,1751.0
2342,2383,886.0,6.0,813.0,936.0,918.0,23.5,48.3,1.3777,1592.0
2343,2384,791.0,3.1,658.0,1140.0,609.0,24.0,45.8,1.3467,1467.0
2344,2385,762.0,2.5,618.0,1214.0,516.0,22.2,50.7,1.3405,1431.0
2345,2386,740.0,1.8,568.0,1259.0,510.0,22.8,48.1,1.3184,1404.0
2346,2387,775.0,2.6,628.0,1178.0,554.0,21.9,50.1,1.3002,1437.0
2347,2388,872.0,6.5,833.0,947.0,760.0,20.4,54.1,1.28,1598.0
2348,2389,1123.0,14.5,1134.0,711.0,1170.0,20.8,52.6,1.2758,1922.0
2349,2390,1306.0,28.8,1522.0,535.0,1545.0,22.8,47.9,1.3156,2450.0
2350,2391,1237.0,21.3,1332.0,605.0,1508.0,25.2,42.9,1.3552,2157.0
2351,2392,1143.0,14.9,1146.0,701.0,1292.0,29.3,34.8,1.397,1917.0
2352,2393,1170.0,15.6,1168.0,703.0,1287.0,33.3,27.8,1.4013,1949.0
2353,2394,1116.0,14.3,1128.0,739.0,1042.0,34.9,24.9,1.363,1856.0
2354,2395,1054.0,12.6,1069.0,785.0,817.0,36.1,22.7,1.3324,1766.0
2355,2396,1083.0,13.4,1097.0,765.0,847.0,37.6,21.1,1.3478,1810.0
2356,2397,1078.0,12.6,1069.0,782.0,806.0,37.3,21.9,1.3761,1780.0
2357,2398,1104.0,14.8,1143.0,747.0,896.0,37.2,21.6,1.3514,1840.0
2358,2399,1170.0,18.6,1257.0,693.0,1069.0,35.6,23.4,1.341,1956.0
2359,2400,1091.0,16.7,1201.0,738.0,945.0,33.1,24.3,1.2087,1834.0
2360,2401,1216.0,20.8,1318.0,673.0,1168.0,30.5,29.5,1.2635,2043.0
2361,2402,1125.0,16.0,1179.0,719.0,1065.0,28.7,35.8,1.3834,1921.0
2362,2403,971.0,7.6,881.0,916.0,672.0,26.6,42.2,1.4452,1635.0
2363,2404,1062.0,10.2,984.0,816.0,842.0,25.2,46.6,1.4733,1796.0
2364,2405,1140.0,13.8,1109.0,714.0,1123.0,24.7,47.7,1.4649,1892.0
2365,2406,1038.0,10.4,992.0,802.0,1007.0,24.4,47.4,1.4301,1731.0
2366,2407,935.0,6.5,836.0,909.0,855.0,23.3,49.9,1.4135,1604.0
2367,2408,861.0,4.3,729.0,1043.0,689.0,23.8,47.3,1.3783,1528.0
2368,2409,839.0,3.4,678.0,1062.0,622.0,22.9,50.2,1.3808,1478.0
2369,2410,850.0,3.9,703.0,1021.0,658.0,21.2,55.0,1.3689,1511.0
2370,2411,817.0,3.0,651.0,1109.0,628.0,21.7,52.6,1.35,1472.0
2371,2412,825.0,3.2,667.0,1079.0,659.0,22.8,48.9,1.3424,1475.0
2372,2413,921.0,5.6,792.0,943.0,799.0,23.5,47.6,1.3611,1595.0
2373,2414,1031.0,9.1,945.0,806.0,964.0,24.6,44.9,1.3661,1697.0
2374,2415,1092.0,9.7,967.0,801.0,910.0,27.0,39.9,1.402,1774.0
2375,2416,1095.0,8.6,923.0,843.0,999.0,29.3,35.9,1.4411,1736.0
2376,2417,1097.0,9.6,964.0,822.0,853.0,31.2,32.4,1.4517,1743.0
2377,2418,1101.0,9.8,972.0,819.0,752.0,34.4,26.6,1.423,1714.0
2378,2419,1060.0,10.3,991.0,833.0,778.0,36.1,22.1,1.3004,1718.0
2379,2458,732.0,1.5,544.0,1353.0,466.0,18.9,55.2,1.1895,1367.0
2380,2459,809.0,3.5,681.0,1108.0,609.0,18.2,57.6,1.193,1463.0
2381,2460,934.0,8.3,911.0,857.0,863.0,18.6,56.0,1.1865,1639.0
2382,2461,1132.0,17.3,1220.0,691.0,1203.0,20.8,48.0,1.1702,1910.0
2383,2462,1221.0,23.3,1386.0,626.0,1412.0,23.3,38.6,1.0919,2138.0
2384,2463,1024.0,13.8,1111.0,770.0,1069.0,25.1,32.4,1.017,1753.0
2385,2464,938.0,10.2,987.0,862.0,817.0,27.8,25.8,0.9473,1597.0
2386,2465,869.0,7.9,897.0,965.0,649.0,29.6,21.0,0.8548,1480.0
2387,2466,846.0,8.8,930.0,947.0,598.0,30.2,18.0,0.7613,1467.0
2388,2467,838.0,7.2,868.0,1005.0,540.0,30.1,18.5,0.7747,1454.0
2389,2468,875.0,8.3,912.0,978.0,601.0,29.5,19.4,0.7872,1504.0
2390,2469,907.0,9.6,961.0,920.0,668.0,31.1,18.2,0.8079,1564.0
2391,2470,889.0,9.0,939.0,920.0,647.0,30.3,19.0,0.8103,1492.0
2392,2471,969.0,12.4,1064.0,834.0,816.0,30.1,19.3,0.8083,1645.0
2393,2472,1051.0,15.3,1157.0,760.0,963.0,28.6,22.3,0.859,1787.0
2394,2473,1043.0,16.1,1181.0,736.0,1010.0,26.1,28.3,0.9407,1813.0
2395,2474,1043.0,14.1,1121.0,736.0,967.0,24.5,35.7,1.0807,1793.0
2396,2475,1007.0,11.4,1027.0,798.0,904.0,23.1,41.5,1.1582,1737.0
2397,2476,966.0,9.5,959.0,838.0,852.0,21.8,46.3,1.1913,1686.0
2398,2477,920.0,7.4,875.0,915.0,744.0,20.9,48.9,1.1945,1594.0
2399,2478,889.0,6.4,831.0,956.0,760.0,20.5,49.9,1.1903,1570.0
2400,2479,825.0,4.1,715.0,1062.0,613.0,20.0,50.9,1.1794,1462.0
2401,2480,758.0,1.9,580.0,1215.0,531.0,22.1,44.3,1.1665,1374.0
2402,2481,735.0,1.4,533.0,1338.0,493.0,21.0,47.5,1.1666,1350.0
2403,2482,719.0,1.2,522.0,1385.0,509.0,19.8,50.3,1.1444,1343.0
2404,2483,757.0,2.2,596.0,1236.0,560.0,19.0,52.8,1.1489,1381.0
2405,2484,890.0,6.4,831.0,922.0,826.0,17.8,56.5,1.1375,1594.0
2406,2485,1181.0,18.5,1255.0,632.0,1334.0,18.2,55.8,1.1529,2002.0
2407,2486,1332.0,30.2,1556.0,523.0,1660.0,20.6,47.7,1.1448,2394.0
2408,2487,1128.0,14.2,1124.0,717.0,1362.0,22.8,41.9,1.1496,1832.0
2409,2488,1128.0,14.3,1126.0,725.0,1316.0,27.1,31.7,1.1147,1856.0
2410,2489,1064.0,12.6,1069.0,766.0,1089.0,30.4,26.4,1.131,1766.0
2411,2490,1139.0,18.0,1240.0,702.0,1129.0,31.1,26.2,1.1647,1940.0
2412,2491,1121.0,17.1,1214.0,707.0,1120.0,31.4,25.3,1.1444,1912.0
2413,2492,1032.0,13.0,1083.0,776.0,916.0,30.8,26.7,1.168,1772.0
2414,2493,1040.0,11.2,1022.0,826.0,812.0,31.8,25.6,1.1868,1747.0
2415,2494,1076.0,13.6,1105.0,762.0,959.0,33.5,22.9,1.1649,1782.0
2416,2495,1177.0,20.5,1310.0,656.0,1189.0,33.1,23.5,1.1673,2011.0
2417,2496,1196.0,20.2,1303.0,654.0,1199.0,31.7,25.9,1.1883,2017.0
2418,2497,1204.0,23.1,1381.0,623.0,1283.0,29.0,30.4,1.2013,2085.0
2419,2498,1166.0,20.3,1304.0,646.0,1291.0,27.4,33.6,1.2095,2016.0
2420,2499,959.0,9.3,949.0,857.0,949.0,25.2,36.4,1.1528,1640.0
2421,2500,1004.0,10.5,997.0,813.0,1018.0,24.0,39.6,1.1662,1726.0
2422,2501,1050.0,13.6,1105.0,729.0,1122.0,23.8,39.6,1.1558,1807.0
2423,2502,965.0,8.0,900.0,864.0,968.0,22.9,43.6,1.1974,1631.0
2424,2503,849.0,4.6,744.0,1004.0,806.0,22.8,43.9,1.202,1496.0
2425,2504,809.0,3.2,666.0,1093.0,714.0,21.8,47.3,1.2189,1455.0
2426,2505,777.0,2.4,609.0,1170.0,644.0,21.7,47.3,1.2135,1405.0
2427,2506,768.0,2.1,591.0,1183.0,606.0,20.8,50.3,1.2207,1402.0
2428,2507,768.0,2.2,597.0,1155.0,606.0,21.7,46.8,1.2031,1396.0
2429,2508,917.0,6.7,842.0,934.0,819.0,20.3,52.3,1.2367,1656.0
2430,2509,1252.0,23.1,1380.0,579.0,1462.0,20.5,52.3,1.245,2210.0
2431,2510,1224.0,19.0,1268.0,605.0,1478.0,21.7,49.6,1.2673,2046.0
2432,2511,1277.0,20.1,1300.0,608.0,1598.0,24.0,43.1,1.2677,2090.0
2433,2512,1149.0,16.4,1192.0,672.0,1449.0,28.5,31.7,1.2144,1944.0
2434,2513,1091.0,13.0,1082.0,746.0,1221.0,32.2,25.1,1.189,1790.0
2435,2514,1053.0,13.1,1087.0,763.0,1023.0,34.9,20.5,1.1279,1762.0
2436,2515,1023.0,11.8,1042.0,796.0,910.0,35.4,19.9,1.1222,1711.0
2437,2516,1085.0,12.7,1075.0,767.0,913.0,34.4,22.5,1.205,1786.0
2438,2517,1116.0,14.1,1120.0,724.0,1035.0,34.8,22.8,1.2488,1854.0
2439,2518,1111.0,14.4,1131.0,735.0,1085.0,34.3,22.4,1.1907,1825.0
2440,2519,1210.0,20.7,1316.0,645.0,1278.0,32.5,25.3,1.2165,2030.0
2441,2520,1250.0,21.6,1339.0,616.0,1383.0,31.3,27.3,1.2234,2075.0
2442,2521,1297.0,24.2,1408.0,595.0,1473.0,30.2,29.0,1.2224,2134.0
2443,2522,1313.0,21.8,1345.0,603.0,1507.0,28.5,33.3,1.2775,2118.0
2444,2523,1146.0,13.0,1084.0,713.0,1215.0,27.3,35.3,1.2606,1829.0
2445,2524,1199.0,15.1,1152.0,685.0,1242.0,26.1,37.8,1.2575,1897.0
2446,2525,1274.0,16.6,1197.0,626.0,1356.0,24.7,47.1,1.44,2023.0
2447,2526,1243.0,12.7,1072.0,675.0,1195.0,23.6,59.8,1.7193,1978.0
